ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution
1,Marks,Shenzhen,boy,166,77,100,84,71,91,6,7,6,8,general
2,Wayne,Shenzhen,girl,159,77,78,89,59,93,10,6,5,9,good
3,Bonnie,Guangzhou,girl,157,80,81,81,54,91,9,6,7,8,good
4,Grace,Guangzhou,boy,168,82,62,81,61,89,9,7,8,5,general
6,Chelsea,Guangzhou,girl,163,79,74,82,74,89,10,10,8,9,general
10,Benson,Guangzhou,girl,161,77,91,84,65,91,5,9,7,5,
11,Franklin,Guangzhou,boy,161,83,79,75,78,92,7,6,7,7,good
12,Phyllis,Shenzhen,girl,161,80,79,91,59,93,10,9,8,9,general
14,Joy,Guangzhou,boy,161,80,91,85,65,89,10,6,8,5,good
15,Josephine,Shanghai,boy,,77,70,86,86,89,10,9,8,7,
16,Rebecca,Guangzhou,girl,160,81,79,85,59,86,10,10,8,8,general
16,Rebecca,Guangzhou,girl,160,81,79,85,59,86,10,10,8,8,general
17,Dolores,Shanghai,boy,168,82,86,86,75,87,9,5,10,9,general
18,Sierra,Shanghai,boy,161,77,93,79,79,89,5,8,10,10,good
19,Stanley,Guangzhou,girl,163,83,83,89,70,89,8,6,6,6,bad
20,Hank,Beijing,boy,177,75,,87,66,88,9,6,10,5,general
21,Adelaide,Beijing,girl,147,83,82,87,71,89,5,10,10,7,good
22,Megan,Shenzhen,girl,160,76,78,87,68,86,7,10,10,6,general
23,Duke,Shanghai,boy,167,75,66,86,71,90,6,6,10,8,bad
24,Teresa,Shenzhen,boy,163,79,59,83,69,93,7,10,9,6,general
25,Victoria,Shenzhen,girl,153,81,84,91,63,91,9,8,9,8,general
25,Victoria,Shenzhen,girl,153,81,84,91,63,91,9,8,9,8,general
26,Donna,Shenzhen,boy,166,74,84,85,69,91,5,6,10,5,good
27,Angelina,Beijing,boy,164,79,54,86,70,89,5,8,10,9,good
28,Jeffery,Shanghai,boy,171,81,81,88,65,89,6,8,6,4,good
29,June,Shenzhen,boy,166,81,67,87,75,92,7,8,8,7,general
30,Mary,Shenzhen,girl,154,90,91,90,77,91,10,7,7,6,general
31,Editha,Guangzhou,girl,160,86,88,83,72,92,8,10,7,5,good
33,Pamela,Shanghai,boy,167,84,74,84,66,93,10,5,7,6,general
34,Selina,Shanghai,girl,161,81,91,81,68,91,9,9,9,9,good
36,Mickey,Guangzhou,girl,152,83,83,86,55,91,7,9,10,7,general
37,Christian,Guangzhou,girl,169,74,75,86,60,91,7,8,6,10,excellent
38,Leopold,Beijing,boy,170,85,82,90,62,91,9,8,8,6,good
40,Manda,Beijing,girl,163,78,81,,58,88,8,10,7,8,general
41,Tiffany,Beijing,girl,155,83,83,91,77,89,10,8,10,6,general
42,Angelia,Shanghai,boy,174,82,89,86,55,89,7,7,6,8,
43,Nikita,Shanghai,girl,161,80,80,82,71,91,6,8,5,7,excellent
43,Wanda,Shenzhen,girl,159,81,64,82,67,92,9,7,9,8,good
44,Wanda,Shenzhen,boy,159,81,64,82,67,92,9,7,9,8,good
45,Cosmo,Beijing,girl,162,85,73,90,73,91,8,7,8,10,excellent
46,Isaac,Shanghai,girl,155,83,76,87,80,85,,6,7,4,good
47,Constance,Shanghai,boy,167,77,76,89,63,90,10,6,6,6,excellent
48,Leslie ,Beijing,girl,157,81,78,85,79,91,10,6,10,8,general
49,Lucy,Beijing,boy,168,80,94,82,63,90,6,6,10,7,bad
50,Zelda,Shanghai,girl,160,84,76,83,66,90,10,7,10,6,good
51,Ethan,Beijing,boy,165,78,86,88,65,93,5,10,8,6,general
52,Sally,Guangzhou,boy,177,81,93,83,69,88,9,8,6,8,good
54,John,Shenzhen,boy,166,81,68,84,60,87,5,6,9,4,excellent
56,Hugo,Guangzhou,boy,165,80,73,89,76,91,6,10,9,6,good
57,Amy,Beijing,girl,164,84,79,89,56,90,8,10,9,9,general
58,Martha,Guangzhou,boy,162,76,82,78,75,91,10,6,10,8,good
59,Nicholas,Guangzhou,boy,163,80,74,86,74,89,8,8,10,8,excellent
60,Todd,Guangzhou,boy,172,76,80,84,66,87,7,,9,10,good
61,Marcy,Guangzhou,boy,166,77,86,88,78,87,9,6,9,9,general
62,Winnie,Beijing,male,171,81,84,86,70,90,6,7,10,8,
63,Adeline,Shenzhen,male,163,80,84,,70,92,10,10,6,6,general
64,Timothy,Beijing,boy,169,83,87,86,77,94,9,6,10,7,good
65,Olivia,Shenzhen,girl,169,81,70,88,71,89,7,9,10,8,excellent
67,Maxine,Beijing,boy,166,86,79,83,77,90,6,6,10,6,good
68,Lorraine,Shenzhen,boy,162,85,80,73,69,89,10,5,10,7,good
68,Lorrained,Shenzhen,boy,1.62,85,80,73,69,89,10,5,10,7,bad
70,Tina,Beijing,boy,173,74,91,80,78,85,9,7,9,10,general
71,Phoebe,Shanghai,male,170,78,85,91,68,87,9,6,8,9,general
72,Karida,Guangzhou,girl,149,,89,82,65,92,10,8,7,9,general
73,Juliana,Guangzhou,girl,151,83,71,80,66,87,10,10,6,6,good
74,Charlotte,Beijing,girl,160,75,78,81,69,92,9,5,10,5,good
75,Demi,Shenzhen,girl,164,84,67,82,74,92,9,7,5,7,general
76,David,Guangzhou,boy,165,79,84,86,72,93,10,8,9,8,good
77,Melissa,Shenzhen,girl,159,77,87,85,70,91,5,10,9,9,general
78,Sheila,Beijing,girl,161,79,68,82,83,92,10,6,6,10,good
79,Henry,Shenzhen,boy,176,81,88,76,88,92,9,9,9,9,general
80,Ivy,Beijing,girl,153,80,87,84,74,88,6,8,9,8,good
81,Deborah,Shenzhen,boy,165,76,95,84,65,93,10,6,6,6,good
82,Caspar,Guangzhou,female,166,71,85,82,61,,8,10,6,7,general
83,Susan,Shenzhen,male,163,79,69,87,43,89,7,7,9,10,general
84,Ishara,Shenzhen,boy,1.75,80,74,86,84,89,6,9,9,5,general
85,lindsay,Beijing,girl,155,76,63,83,56,89,6,10,8,5,general
86,Noah,Guangzhou,girl,159,82,90,88,73,87,8,9,10,5,good
88,Marshal,Guangzhou,boy,181,71,73,86,73,88,10,10,8,7,good
89,Harrison,Shenzhen,boy,164,82,94,84,78,92,7,7,10,9,general
90,Vera,Beijing,boy,172,74,84,76,84,91,10,6,7,8,good
91,Monica,Shanghai,boy,172,85,82,81,76,88,10,10,6,6,general
92,Roy,Shanghai,girl,161,77,87,87,72,89,7,10,7,8,
93,Owen,Beijing,girl,156,76,94,96,72,92,6,6,8,4,general
94,Glendon,Guangzhou,girl,168,81,56,84,61,84,6,10,10,8,good
95,Britney,Guangzhou,girl,166,78,84,91,72,91,5,10,9,10,bad
96,Miranda,Shenzhen,boy,172,72,77,78,77,91,9,10,10,6,good
97,Andrew,Shanghai,boy,168,76,71,83,75,93,10,7,10,4,bad
98,Elijah,Shenzhen,girl,160,67,77,87,62,91,6,10,8,9,excellent
99,Alexander,Beijing,boy,169,88,77,83,75,88,7,6,9,8,excellent
100,Octavia,Shenzhen,girl,164,77,61,84,91,93,7,9,6,8,general
101,Jonathan,Shanghai,boy,163,80,78,91,64,88,9,8,7,5,excellent
102,Violet,Shenzhen,girl,163,76,78,93,78,,10,9,10,10,good
104,Mia,Guangzhou,girl,163,85,78,76,68,91,10,7,6,10,general
105,Frederica,Guangzhou,boy,167,80,97,86,52,89,6,6,9,5,good
106,Carry,Shenzhen,girl,167,76,72,83,59,92,8,5,5,9,good
108,Robert,Guangzhou,boy,166,82,79,82,65,89,7,9,9,7,general
109,Edmund,Shanghai,girl,159,82,78,97,66,91,7,10,8,8,general
ID,Name,City,Gender,Height,C1,C2,C3,C4,C5,C6,C7,C8,C9,Constitution
202001,Marks,Shenzhen,male,1.66,77,100,84,71,91,6,7,6,8,general
202002,Wayne,Shenzhen,female,1.59,77,78,89,59,93,10,6,5,9,good
202003,Bonnie,Guangzhou,girl,1.57,80,81,81,54,91,9,6,7,8,good
202004,Grace,Guangzhou,male,1.68,,62,81,61,89,9,7,8,5,general
202005,Hayden,Shanghai,boy,1.68,85,82,91,60,92,9,10,9,8,excellent
202006,Chelsea,Guangzhou,female,1.63,79,74,82,74,89,10,10,8,9,general
202007,Dylan,Shenzhen,female,1.54,83,76,85,75,93,7,7,10,9,general
202008,Yolanda,Shanghai,male,1.74,82,69,80,67,90,9,7,10,8,general
202008,Yolandaa,Shanghai,male,1.74,82,69,,67,90,9,7,10,8,
202012,Phyllis,Shenzhen,female,1.61,80,79,91,59,93,10,9,8,9,general
202013,Donald,Beijing,male,1.63,82,73,83,70,89,10,6,10,4,general
202014,Joy,Guangzhou,female,161,80,91,85,65,89,10,6,8,5,good
202015,Josephine,Shanghai,male,1.75,77,70,86,86,89,10,9,8,7,excellent
202016,Rebecca,Guangzhou,female,1.6,81,79,85,59,86,10,10,8,8,general
202017,Dolores,Shanghai,male,1.68,82,86,86,75,87,9,5,10,9,general
202018,Sierra,Shanghai,male,1.61,77,93,79,79,89,5,8,10,10,good
202019,Stanley,Guangzhou,female,1.63,83,83,89,70,89,8,6,6,6,bad
202020,Hank,Beijing,male,1.77,75,60,87,66,88,9,6,10,5,general
202021,Adelaide,Beijing,female,1.47,83,82,87,71,89,5,10,10,7,good
202022,Megan,Shenzhen,female,1.6,76,,87,68,86,7,10,10,6,general
202022,Megan,Shenzhen,female,160,76,78,87,68,86,7,10,10,6,general
202023,Duke,Shanghai,male,1.67,75,66,86,71,90,6,6,10,8,bad
202024,Teresa,Shenzhen,male,1.63,79,59,83,69,93,,10,9,6,general
202027,Angelina,Beijing,male,1.64,79,54,86,70,89,5,8,10,9,good
202028,Jeffery,Shanghai,male,1.71,81,81,88,65,89,6,8,6,4,good
202029,June,Shenzhen,male,1.66,81,67,87,75,92,7,8,8,7,general
202030,Mary,Shenzhen,female,1.54,90,91,90,77,91,10,7,7,6,general
202031,Editha,Guangzhou,female,1.6,86,88,83,72,92,8,10,7,5,good
202032,Howard,Shenzhen,female,1.61,80,79,79,,90,9,10,10,5,good
202033,Pamela,Shanghai,male,1.67,84,74,84,66,93,10,5,7,6,general
202034,Selina,Shanghai,female,1.61,81,91,81,68,91,9,9,9,9,good
202035,Alicia,Shenzhen,male,1.63,77,65,79,73,91,10,8,6,5,
202036,Mickey,Guangzhou,female,1.52,83,83,86,55,91,7,9,10,7,general
202036,Mickey,Guangzhou,male,152,83,83,86,55,91,7,9,10,7,general
202037,Christian,Guangzhou,female,1.69,74,75,86,60,91,7,8,6,10,excellent
202038,Leopold,Beijing,male,1.7,85,82,90,62,91,9,8,8,6,good
202039,Claudia,Shanghai,female,1.65,77,79,84,85,89,9,7,10,7,general
202040,Manda,Beijing,female,1.63,78,81,91,58,88,8,10,7,8,general
202041,Tiffany,Beijing,female,1.55,83,83,91,77,89,10,8,10,6,general
202042,Angelia,Shanghai,male,1.74,82,89,86,55,89,7,7,6,8,excellent
202043,Nikita,Shanghai,female,1.61,80,80,82,71,91,6,8,5,7,excellent
202044,Wanda,Shenzhen,female,1.59,81,64,82,67,92,9,7,9,8,good
202045,Cosmo,Beijing,female,1.62,85,73,90,73,91,8,7,8,10,
202046,Isaac,Shanghai,female,1.55,83,76,87,80,85,8,6,7,4,good
202047,Constance,Shanghai,male,1.67,77,76,89,63,90,10,6,6,6,excellent
202048,Leslie?,Beijing,female,1.57,81,78,85,79,91,10,6,10,8,general
202049,Lucy,Beijing,male,1.68,80,94,82,63,90,6,6,10,7,bad
202050,Zelda,Shanghai,female,1.6,84,76,83,66,90,10,7,10,6,good
202051,Ethan,Beijing,male,1.65,78,86,88,65,93,5,10,8,6,general
202052,Sally,Guangzhou,male,1.77,81,93,83,69,88,9,8,6,8,good
202053,Joliet,Guangzhou,female,1.55,80,79,88,60,87,6,8,8,7,general
202054,John,Shenzhen,male,1.66,81,68,84,60,87,5,6,9,4,
202056,Hugo,Guangzhou,male,1.65,80,73,89,76,91,6,10,9,6,
202057,Amy,Beijing,female,1.64,84,79,89,56,90,8,10,9,9,general
202058,Martha,Guangzhou,male,1.62,76,82,78,75,91,10,6,10,8,good
202059,Nicholas,Guangzhou,male,1.63,80,74,86,74,89,8,8,10,8,excellent
202060,Todd,Guangzhou,male,1.72,76,80,84,66,87,7,9,9,10,good
202061,Marcy,Guangzhou,male,1.66,77,86,88,78,87,9,6,9,9,general
202062,Winnie,Beijing,male,1.71,81,84,86,70,90,6,7,10,8,general
202063,Adeline,Shenzhen,male,1.63,80,84,87,70,92,10,10,6,6,
202064,Timothy,Beijing,male,1.69,83,87,86,77,94,9,6,10,7,good
202066,Geoffrey,Shanghai,female,1.65,80,86,81,67,88,10,6,7,5,bad
202067,Maxine,Beijing,male,1.66,86,79,,77,90,6,6,10,6,good
202068,Lorraine,Shenzhen,male,162,85,80,73,69,89,10,5,10,7,good
202069,Eva,Shenzhen,female,1.55,72,92,84,66,92,9,7,10,6,general
202070,Tina,Beijing,male,1.73,74,91,80,78,85,9,7,9,10,general
202071,Phoebe,Shanghai,male,1.7,78,85,91,68,87,9,6,8,9,general
202072,Karida,Guangzhou,female,1.49,77,89,82,65,92,10,8,7,9,general
202073,Juliana,Guangzhou,female,1.51,83,71,80,66,87,10,10,6,6,good
202074,Charlotte,Beijing,female,1.6,75,78,81,69,92,9,5,10,5,good
202075,Demi,Shenzhen,female,1.64,,67,82,74,92,9,7,5,7,general
202076,David,Guangzhou,male,1.65,79,84,86,72,93,10,8,9,8,good
202079,Henry,Shenzhen,male,1.76,81,88,76,88,92,9,9,9,9,general
202080,Ivy,Beijing,female,1.53,80,87,84,74,88,6,8,9,8,good
202084,Ishara,Shenzhen,male,1.75,80,74,86,84,89,6,9,9,5,general
202085,lindsay,Beijing,female,1.55,76,63,83,56,89,6,10,8,5,general
202086,Noah,Guangzhou,female,1.59,82,90,88,73,87,8,9,10,5,good
202087,Dick,Guangzhou,male,1.74,83,84,81,65,88,5,10,10,10,bad
202088,Marshal,Guangzhou,male,1.81,71,73,86,73,88,10,10,8,7,good
202089,Harrison,Shenzhen,male,1.64,82,94,84,78,92,7,7,10,9,general
202090,Vera,Beijing,male,1.72,74,84,76,84,91,10,6,7,8,good
202091,Monica,Shanghai,male,1.72,85,82,81,76,88,10,10,6,6,general
202092,Roy,Shanghai,female,1.61,77,87,87,72,89,7,10,7,8,bad
202093,Owen,Beijing,female,1.56,76,94,96,72,92,6,6,8,4,general
202094,Glendon,Guangzhou,female,1.68,81,56,84,61,84,6,10,10,8,good
202095,Britney,Guangzhou,female,1.66,78,84,91,72,91,5,10,9,10,bad
202096,Miranda,Shenzhen,male,1.72,72,77,78,77,91,9,10,10,6,good
202097,Andrew,Shanghai,male,1.68,76,71,83,75,,10,7,10,4,bad
202098,Elijah,Shenzhen,female,1.6,67,77,87,62,91,6,10,8,9,excellent
202099,Alexander,Beijing,male,1.69,88,77,83,75,88,7,6,9,8,excellent
202100,Octavia,Shenzhen,female,1.64,77,61,84,91,93,7,9,6,8,general
202101,Jonathan,Shanghai,male,1.63,80,78,91,64,88,9,8,7,5,excellent
202102,Violet,Shenzhen,female,1.63,76,78,93,78,92,10,9,10,10,good
202104,Mia,Guangzhou,female,1.63,85,78,76,68,91,10,7,6,10,general
202105,Frederica,Guangzhou,male,1.67,80,97,86,52,89,6,6,9,5,good
202106,Carry,Shenzhen,female,1.67,76,72,83,59,92,8,5,5,9,good
202107,Tamara,Shanghai,female,1.56,81,74,79,68,87,10,6,8,8,bad
202108,Robert,Guangzhou,male,1.66,82,79,82,65,89,7,9,9,7,general
202109,Edmund,Shanghai,female,1.59,82,78,97,66,91,7,10,8,8,general
